time.ms,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,pm.vbat,drone_id,node_name,wind_speed,global_wind_direction,relative_wind_direction,travel_dist,waiting_time,curr_node_role
0,1.697417378425598,1.165048360824585,0.0,-0.3673423230648041,0.7636241912841797,-11.309514045715332,4.1484375,0,C1,0,None,None,0.0,[6200|0|0],start
100,1.6968330144882202,1.164923071861267,0.0,-0.35176882147789,0.7811732292175293,-11.321598052978516,4.1484375,0,C1,0,None,None,0.0005976441546914,[6300|0|0],start
200,1.6973190307617188,1.165381908416748,0.0,-0.3613055348396301,0.7672897577285767,-11.312875747680664,4.1484375,0,C1,0,None,None,0.0012660323672977,[6400|0|0],start
300,1.6973204612731934,1.16506826877594,0.0,-0.3460777401924133,0.7624275088310242,-11.281219482421877,4.1484375,0,C1,0,None,None,0.0015796752703727,[6500|0|0],start
400,1.6970617771148682,1.1652451753616333,0.0,-0.4083410501480102,0.7411696314811707,-11.262977600097656,4.1484375,0,C1,0,None,None,0.0018930654964968,[6600|0|0],start
500,1.696854591369629,1.1652767658233645,0.0,-0.4021827578544616,0.7468926310539246,-11.296631813049316,4.1484375,0,C1,0,None,None,0.002102645768237,[6700|0|0],start
600,1.6973291635513306,1.1652227640151978,0.0,-0.396387904882431,0.7394461035728455,-11.26911163330078,4.1484375,0,C1,0,None,None,0.002580280514597,[6800|0|0],start
700,1.6968727111816406,1.165125846862793,0.0,-0.3901433944702148,0.7583866715431213,-11.297126770019531,4.1484375,0,C1,0,None,None,0.0030469085251427,[6900|0|0],start
800,1.6969648599624634,1.1651116609573364,0.0,-0.3903982639312744,0.7553252577781677,-11.280640602111816,4.1484375,0,C1,0,None,None,0.0031401428413612,[7000|0|0],start
900,1.6970839500427246,1.1650229692459106,0.0,-0.3865306079387665,0.744475245475769,-11.304936408996582,4.1484375,0,C1,0,None,None,0.0032886307765353,[7100|0|0],start
1000,1.6972655057907104,1.1651277542114258,0.0,-0.3799988031387329,0.7381120920181274,-11.298527717590332,4.1484375,0,C1,0,None,None,0.0034982551516082,[7200|0|0],start
1100,1.6969101428985596,1.1650371551513672,0.0,-0.3638249337673187,0.7516761422157288,-11.301969528198242,4.1484375,0,C1,0,None,None,0.0038649852632726,[7300|0|0],start
1200,1.6973294019699097,1.165249586105347,0.0,-0.3695947825908661,0.7489192485809326,-11.279521942138672,4.15234375,0,C1,0,None,None,0.0043349906665586,[7400|0|0],start
1300,1.6965599060058594,1.164789795875549,0.0,-0.351289838552475,0.7653748989105225,-11.278377532958984,4.15234375,0,C1,0,None,None,0.0052313896257878,[7500|0|0],start
1400,1.6969003677368164,1.165143609046936,0.0,-0.3652144074440002,0.7595404982566833,-11.297122955322266,4.1484375,0,C1,0,None,None,0.0057224068866791,[7600|0|0],start
1500,1.696900486946106,1.164944052696228,0.0,-0.3539531230926513,0.7627273201942444,-11.292720794677734,4.1484375,0,C1,0,None,None,0.0059219632729932,[7700|0|0],start
1600,1.6968764066696167,1.165026068687439,0.0,-0.3529524505138397,0.7614731788635254,-11.281906127929688,4.1484375,0,C1,0,None,None,0.0060074412381662,[7800|0|0],start
1700,1.6970057487487793,1.1646220684051514,0.0,-0.3361818492412567,0.7592290639877319,-11.276525497436523,4.1484375,0,C1,0,None,None,0.0064316411928226,[7900|0|0],start
1800,1.697155237197876,1.1646528244018557,0.0,-0.3537219166755676,0.7688444256782532,-11.282657623291016,4.1484375,0,C1,0,None,None,0.0065842607451304,[8000|0|0],start
1900,1.696826696395874,1.165187120437622,0.0,-0.3685319125652313,0.7802081108093262,-11.26857566833496,4.1484375,0,C1,0,None,None,0.0072114858342457,[8100|0|0],start
2000,1.6973981857299805,1.16493558883667,0.0,-0.3554899990558624,0.7702466249465942,-11.272143363952637,4.1484375,0,C1,0,None,None,0.0078358801049393,[8200|0|0],start
2100,1.697433352470398,1.1652007102966309,0.0,-0.3543764352798462,0.7791560888290405,-11.269129753112791,4.15234375,0,C1,0,None,None,0.0081033237217325,[8300|0|0],start
2200,1.6968530416488647,1.165226697921753,0.0,-0.3422115743160248,0.7950016856193542,-11.258770942687988,4.1484375,0,C1,0,None,None,0.0086842161440002,[8400|0|0],start
2300,1.6973702907562256,1.165111064910889,0.0,-0.3378454148769378,0.7819226980209351,-11.231678009033203,4.1484375,0,C1,0,None,None,0.0092142327779533,[8500|0|0],start
2400,1.6972815990447998,1.1646941900253296,0.0,-0.3283931016921997,0.779630184173584,-11.265264511108398,4.1484375,0,C1,0,None,None,0.009640437998341,[8600|0|0],start
2500,1.6970237493515017,1.1646316051483154,0.0,-0.3342234492301941,0.791040301322937,-11.30057430267334,4.1484375,0,C1,0,None,None,0.0099057742588951,[8700|0|0],start
2600,1.696989893913269,1.1649171113967896,0.0,-0.3462065160274505,0.8014726042747498,-11.285195350646973,4.1484375,0,C1,0,None,None,0.0101932807955437,[8800|0|0],start
2700,1.6976194381713867,1.1649703979492188,0.0,-0.3538287580013275,0.7888166308403015,-11.273942947387695,4.1484375,0,C1,0,None,None,0.0108250761972354,[8900|0|0],start
