time.ms,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,pm.vbat,drone_id,node_name,wind_speed,global_wind_direction,relative_wind_direction,travel_dist,waiting_time,curr_node_role
0,1.2471117973327637,1.1115254163742063,0.0,0.3860463201999664,1.3677866458892822,-9.815873146057127,4.0078125,2,A/E1,0,None,None,0.0,[6200|0|0|0],start
100,1.2473061084747314,1.111361384391785,0.0,0.3345439434051513,1.2724981307983398,-9.752874374389648,4.0078125,2,A/E1,0,None,None,0.000254289817236,[6300|0|0|0],start
200,1.247566819190979,1.1114013195037842,0.0,0.2834778428077698,1.193036437034607,-9.715662002563477,4.0078125,2,A/E1,0,None,None,0.0005180413873483,[6400|0|0|0],start
300,1.2477980852127075,1.1114709377288818,0.0,0.2350216507911682,1.130953669548035,-9.719374656677246,2.998046875,2,fly,0,None,None,0.0007595588195802,[6400|0|0|0],fly
400,1.247361421585083,1.111602544784546,0.0,0.2211039960384369,1.206140637397766,-9.428266525268556,3.125,2,fly,0,None,None,0.0012156241008621,[6400|0|0|0],fly
500,1.2473280429840088,1.1139429807662964,0.0,-2.5005545616149902,2.155855178833008,-6.433030128479004,3.3203125,2,fly,0,None,None,0.0035562980883456,[6400|0|0|0],fly
600,1.2450653314590454,1.1233971118927002,0.0215218625962734,-0.5511683821678162,2.79660701751709,-3.328965187072754,3.326171875,2,fly,0,None,None,0.0271717808996987,[6400|0|0|0],fly
700,1.2415395975112915,1.1374787092208862,0.0937416329979896,0.6961690187454224,1.0669007301330566,-1.7867225408554075,3.39453125,2,fly,0,None,None,0.1008360016588985,[6400|0|0|0],fly
800,1.2368816137313845,1.152499079704285,0.1752417981624603,2.4580512046813965,0.5399056077003479,-0.8813961744308472,3.42578125,2,fly,0,None,None,0.1838395272719014,[6400|0|0|0],fly
900,1.2321268320083618,1.163416028022766,0.2606051564216614,3.539397716522217,0.6015409231185913,-0.1827790737152099,3.509765625,2,fly,0,None,None,0.2700293795928719,[6400|0|0|0],fly
1000,1.2268357276916504,1.1694629192352295,0.3420903980731964,3.6251840591430655,0.1260626912117004,-0.0498699434101581,3.55859375,2,fly,0,None,None,0.3519098124522233,[6400|0|0|0],fly
1100,1.2212516069412231,1.172230839729309,0.414806991815567,3.411958694458008,-0.0360235981643199,-0.1366395354270935,3.578125,2,fly,0,None,None,0.424893007736548,[6400|0|0|0],fly
1200,1.215710163116455,1.1703065633773804,0.4738996028900146,2.7540323734283447,-0.1408064216375351,-0.0285297818481922,3.57421875,2,fly,0,None,None,0.4842760619080671,[6400|0|0|0],fly
1300,1.2111454010009766,1.1651026010513306,0.5205773115158081,1.9132989645004272,-0.1384525597095489,-0.0116920405998826,3.55859375,2,fly,0,None,None,0.5314642676338237,[6400|0|0|0],fly
1400,1.20610773563385,1.1584346294403076,0.5552346706390381,0.9810478687286376,-0.2201507985591888,0.0068322191946208,3.541015625,2,fly,0,None,None,0.567114968316322,[6400|0|0|0],fly
1500,1.199518799781799,1.15175461769104,0.5815612077713013,0.0445663891732692,-0.1846267431974411,0.1488846093416214,3.537109375,2,fly,0,None,None,0.5950635494969334,[6400|0|0|0],fly
1600,1.195940017700195,1.1449766159057615,0.6018577814102173,-0.3955767750740051,-0.5207667350769043,0.1444366574287414,3.525390625,2,fly,0,None,None,0.6167591686599992,[6400|0|0|0],fly
1700,1.193487286567688,1.139082431793213,0.6183096766471863,-0.7725390791893005,-0.5058347582817078,0.3047519624233246,3.53125,2,fly,0,None,None,0.6344063257468842,[6400|0|0|0],fly
1800,1.190683126449585,1.1366480588912964,0.6309311389923096,-0.7093942761421204,-0.4607508778572082,0.4327157437801361,3.521484375,2,fly,0,None,None,0.6475627233207989,[6400|0|0|0],fly
1900,1.1892266273498535,1.134908676147461,0.6410142779350281,-0.511726975440979,-0.4100034534931183,0.2756612002849579,3.525390625,2,fly,0,None,None,0.6578979317316263,[6400|0|0|0],fly
2000,1.189537763595581,1.133640170097351,0.650391697883606,-0.0369077399373054,-0.3718025684356689,0.0780045688152313,3.521484375,2,fly,0,None,None,0.6673658733376227,[6400|0|0|0],fly
2100,1.1899054050445557,1.1332814693450928,0.657637357711792,0.308715671300888,-0.2340142428874969,0.0879866033792495,3.509765625,2,fly,0,None,None,0.6746297161780525,[6400|0|0|0],fly
2200,1.1902756690979004,1.1327661275863647,0.6631748080253601,0.399369329214096,-0.1849797666072845,-0.0337187722325325,3.509765625,2,fly,0,None,None,0.6802034069277015,[6400|0|0|0],fly
2300,1.191521406173706,1.1320288181304932,0.6685836911201477,0.4953266382217407,-0.1489372104406356,-0.157296672463417,3.509765625,2,fly,0,None,None,0.6858026481645866,[6400|0|0|0],fly
2400,1.1937141418457031,1.1296755075454712,0.6729035377502441,0.4606584012508392,0.1023013293743133,-0.1727492958307266,3.509765625,2,fly,0,None,None,0.6911884847146854,[6400|0|0|0],fly
2500,1.1954302787780762,1.1265183687210083,0.6766349077224731,0.1493389010429382,0.3473732769489288,0.0085942866280674,3.509765625,2,fly,0,None,None,0.6963688103219459,[6400|0|0|0],fly
2600,1.1972227096557615,1.1236464977264404,0.6794366836547852,-0.0619342327117919,0.4772081077098846,0.2919215261936188,3.509765625,2,fly,0,None,None,0.7007631703249045,[6400|0|0|0],fly
2700,1.197651982307434,1.1207029819488523,0.6821958422660828,-0.2509408295154571,0.4303531050682068,0.4324110746383667,3.509765625,2,fly,0,None,None,0.7048204497563317,[6400|0|0|0],fly
2800,1.1976630687713623,1.1176602840423584,0.6843957901000977,-0.4866791665554046,0.3694491684436798,0.5667224526405334,3.509765625,2,fly,0,None,None,0.7085751673132529,[6400|0|0|0],fly
2900,1.1975396871566772,1.1155683994293213,0.6863831877708435,-0.6006057858467102,0.2931966483592987,0.5731202363967896,3.509765625,2,fly,0,None,None,0.7114632382540003,[6400|0|0|0],fly
3000,1.196724534034729,1.1136353015899658,0.687506377696991,-0.4887341558933258,0.1328250169754028,0.5624995827674866,3.505859375,2,fly,0,None,None,0.7138429225773806,[6400|0|0|0],fly
3100,1.195895791053772,1.112481713294983,0.6883084774017334,-0.6092991828918457,0.0989799350500106,0.5205775499343872,3.5,2,fly,0,None,None,0.7154741628475907,[6400|0|0|0],fly
3200,1.1947848796844482,1.1124769449234009,0.6891724467277527,-0.4470168352127075,-0.1006014645099639,0.4824825525283813,3.5,2,fly,0,None,None,0.716881497137716,[6400|0|0|0],fly
3300,1.1941107511520386,1.1132375001907349,0.6904323697090149,-0.2160505950450897,-0.0319186262786388,0.3399856388568878,3.416015625,2,fly,0,None,None,0.7185002310601353,[6400|0|0|0],fly
3400,1.1952767372131348,1.1111457347869873,0.6967572569847107,9.855712890625,-3.766802549362183,0.9367637038230896,3.21484375,2,fly,0,None,None,0.7252633076565701,[6400|0|0|0],fly
3500,1.2044718265533447,1.0904136896133425,0.7216482162475586,14.58479118347168,-4.770031452178955,0.8253180980682373,3.310546875,2,fly,0,None,None,0.758937143465418,[6400|0|0|0],fly
3600,1.223126769065857,1.04253351688385,0.7631901502609253,16.568950653076172,-4.20495080947876,-0.0119785219430923,3.41015625,2,fly,0,None,None,0.8250147501285082,[6400|0|0|0],fly
3700,1.2474420070648191,0.9656267762184144,0.8147879838943481,12.93191909790039,-1.5576229095458984,-0.5762104988098145,3.5,2,fly,0,None,None,0.920765541218656,[6400|0|0|0],fly
3800,1.2720236778259275,0.8697498440742493,0.8662297129631042,6.327581882476807,0.9614612460136414,-0.1699132323265075,3.537109375,2,fly,0,None,None,1.03231327156028,[6400|0|0|0],fly
3900,1.295149326324463,0.7584988474845886,0.917698621749878,-0.8002090454101562,2.3447530269622803,0.2602854967117309,3.552734375,2,fly,0,None,None,1.1570555195453622,[6400|0|0|0],fly
4000,1.3112293481826782,0.6617835760116577,0.9531939625740052,-7.6075119972229,2.906221866607666,0.8075788617134094,3.546875,2,fly,0,None,None,1.2613259854466152,[6400|0|0|0],fly
4100,1.3224172592163086,0.5792515277862549,0.9763911366462708,-11.054637908935549,2.571249008178711,0.9601789712905884,3.525390625,2,fly,0,None,None,1.347783010739622,[6400|0|0|0],fly
4200,1.3290629386901855,0.5155506134033203,0.9879645109176636,-12.120149612426758,1.8911076784133911,2.409819841384888,3.48828125,2,fly,0,None,None,1.4128669145939332,[6400|0|0|0],fly
4300,1.3309777975082395,0.4713647961616516,0.9906637072563172,-11.697380065917969,1.5107916593551636,1.5427292585372925,3.46875,2,fly,0,None,None,1.4571764935863116,[6400|0|0|0],fly
4400,1.3309201002120972,0.4442187845706939,0.9888153076171876,-9.422057151794434,0.8562671542167664,0.8322830200195312,3.46875,2,fly,0,None,None,1.4843854232877962,[6400|0|0|0],fly
4500,1.328696370124817,0.4325113296508789,0.9882060885429382,-6.483922958374023,0.2347416579723358,0.5092416405677795,3.478515625,2,fly,0,None,None,1.4963177585194685,[6400|0|0|0],fly
4600,1.3265169858932495,0.4307709038257599,0.9896115064620972,-3.8650197982788086,-0.3338611423969269,0.3100500404834747,3.5,2,fly,0,None,None,1.499440897518783,[6400|0|0|0],fly
4700,1.3247357606887815,0.4337390959262848,0.993200659751892,-1.405748724937439,-0.4925250113010406,0.1349833756685257,3.5,2,fly,0,None,None,1.504427374121786,[6400|0|0|0],fly
4800,1.3235498666763306,0.437304139137268,0.99734628200531,0.1153086200356483,-0.5315561890602112,0.0847661420702934,3.5,2,fly,0,None,None,1.5100221986563875,[6400|0|0|0],fly
4900,1.3228334188461304,0.4405515491962433,1.0005747079849243,0.5930364727973938,-0.4565608203411102,-0.0006553797866217,3.505859375,2,fly,0,None,None,1.5146570345639878,[6400|0|0|0],fly
5000,1.3222471475601196,0.4415131509304046,1.0027049779891968,0.8236285448074341,-0.4821766912937164,0.2718847990036011,3.505859375,2,fly,0,None,None,1.517066690598995,[6400|0|0|0],fly
5100,1.3219802379608154,0.4395919442176819,1.0038042068481443,0.2902546226978302,-0.4956686198711395,0.1037904247641563,3.5,2,fly,0,None,None,1.519296170370501,[6400|0|0|0],fly
5200,1.3216302394866943,0.4375611543655395,1.0034619569778442,-0.2585178017616272,-0.4451491236686706,0.2310844957828521,3.5,2,fly,0,None,None,1.5213851273660306,[6400|0|0|0],fly
5300,1.322016358375549,0.4349634349346161,1.0022648572921753,-0.5528070330619812,-0.3316399753093719,0.4475028812885284,3.484375,2,fly,0,None,None,1.5242713501044132,[6400|0|0|0],fly
5400,1.3222875595092771,0.4330943822860718,1.0001403093338013,-1.0036996603012085,-0.2657515406608581,0.5551813244819641,3.48828125,2,fly,0,None,None,1.5271139918133518,[6400|0|0|0],fly
5500,1.3229366540908811,0.4329783022403717,0.9982062578201294,-1.1286178827285769,-0.3204241991043091,0.5764515399932861,3.484375,2,fly,0,None,None,1.5291573600157111,[6400|0|0|0],fly
5600,1.3239818811416626,0.4338638186454773,0.9956631660461426,-1.0062896013259888,-0.2288768589496612,0.6351475715637207,3.478515625,2,fly,0,None,None,1.5320459504439854,[6400|0|0|0],fly
5700,1.3247263431549072,0.4364151656627655,0.993466317653656,-0.7069573402404785,-0.1695120185613632,0.6238403916358948,3.484375,2,fly,0,None,None,1.5354941004046687,[6400|0|0|0],fly
5800,1.3265403509140017,0.4395990371704101,0.9915098547935486,-0.317724734544754,-0.058213111013174,0.4493163824081421,3.484375,2,fly,0,None,None,1.5396480634341414,[6400|0|0|0],fly
5900,1.3284928798675537,0.4427345693111419,0.9896860718727112,-0.1249149739742279,0.0725458785891532,0.3965474665164947,3.48828125,2,fly,0,None,None,1.5437675434088909,[6400|0|0|0],fly
6000,1.3304685354232788,0.4462432861328125,0.9868370294570924,0.0571845471858978,0.0806637033820152,0.330457329750061,3.478515625,2,fly,0,None,None,1.548700225366562,[6400|0|0|0],fly
6100,1.3327398300170898,0.4487932026386261,0.9834279417991638,0.2166681587696075,0.1260553300380706,0.3349912762641907,3.478515625,2,fly,0,None,None,1.5535254437013046,[6400|0|0|0],fly
6200,1.334306716918945,0.4512964487075805,0.9818098545074464,0.1109261512756347,0.1365382671356201,0.2657979428768158,3.47265625,2,fly,0,None,None,1.556892873274222,[6400|0|0|0],fly
6300,1.3358352184295654,0.4540248215198517,0.9795050621032716,0.1363554298877716,0.1616406291723251,0.3664186298847198,3.47265625,2,fly,0,None,None,1.5607777674937666,[6400|0|0|0],fly
6400,1.337971568107605,0.4557865858078003,0.9696977138519288,0.5504470467567444,-0.0703510344028472,0.1881032735109329,3.76953125,2,fly,0,None,None,1.5709685419038038,[6400|0|0|0],fly
6500,1.341002106666565,0.4560868740081787,0.9254373908042908,0.6789191365242004,-0.4679512679576874,0.2085143774747848,3.6640625,2,fly,0,None,None,1.6153335115672884,[6400|0|0|0],fly
6600,1.343050241470337,0.4565211236476898,0.8399621248245239,0.038979060947895,-0.007273850031197,0.4953510761260986,3.552734375,2,fly,0,None,None,1.7008344152071666,[6400|0|0|0],fly
6700,1.3446757793426514,0.455846905708313,0.7263952493667603,-0.0753507912158966,0.3610236942768097,1.096211552619934,3.46875,2,fly,0,None,None,1.8144149247343,[6400|0|0|0],fly
6800,1.3459101915359497,0.4553377330303192,0.601046085357666,-0.2916572391986847,0.7841208577156067,1.6861751079559326,3.447265625,2,fly,0,None,None,1.9397712007960028,[6400|0|0|0],fly
6900,1.3461710214614868,0.4536576271057129,0.4761641919612884,0.1448392271995544,0.7651039958000183,1.7429139614105225,3.37890625,2,fly,0,None,None,2.064664667744568,[6400|0|0|0],fly
7000,1.3460310697555542,0.4522125720977783,0.3606072962284088,-0.5197135806083679,0.7261137962341309,1.0769248008728027,3.326171875,2,fly,0,None,None,2.180230683172441,[6400|0|0|0],fly
7100,1.3457682132720947,0.4500440061092376,0.2622193396091461,-0.8631796836853027,0.2925125062465668,0.1819081604480743,3.283203125,2,fly,0,None,None,2.278642886580817,[6400|0|0|0],fly
7200,1.3455852270126345,0.4496693909168243,0.1855879575014114,-1.256223440170288,-0.4416270554065704,-0.4512958228588104,3.27734375,2,fly,0,None,None,2.3552754028141702,[6400|0|0|0],fly
7300,1.3464043140411377,0.4520554542541504,0.1298220306634903,-1.5516059398651123,-0.2230911999940872,-0.4526439309120178,3.298828125,2,fly,0,None,None,2.4110983622296507,[6400|0|0|0],fly
7400,1.347951889038086,0.4562864899635315,0.0933577790856361,-0.000393871741835,0.3136370778083801,-0.252272754907608,3.341796875,2,fly,0,None,None,2.4478398686587326,[6400|0|0|0],fly
7500,1.3488022089004517,0.4612506031990051,0.070616990327835,1.175312638282776,0.1109787449240684,-0.2567800879478454,3.3828125,2,fly,0,None,None,2.471131689914484,[6400|0|0|0],fly
7600,1.3495956659317017,0.4634210467338562,0.0595447570085525,1.4379205703735352,-0.3186819553375244,-0.5713087320327759,3.41015625,2,fly,0,None,None,2.4824425143705104,[6400|0|0|0],fly
7700,1.351606369018555,0.4635608792304992,0.0536294057965278,1.1614480018615725,-0.4958205223083496,-0.2657252550125122,3.3984375,2,fly,0,None,None,2.4886918231316617,[6400|0|0|0],fly
7800,1.354081392288208,0.4605360031127929,0.0510732233524322,1.1501086950302124,0.0412583574652671,-0.0434073656797409,3.388671875,2,fly,0,None,None,2.493361907113808,[6400|0|0|0],fly
7900,1.357776403427124,0.455374926328659,0.0499971508979797,1.0673521757125854,-0.3077178001403808,-0.2374805957078933,3.41015625,2,fly,0,None,None,2.499799900032076,[6400|0|0|0],fly
8000,1.3614020347595217,0.4483900368213653,0.051928661763668,-0.5102902054786682,0.2795146405696869,-0.5127808451652527,3.453125,2,fly,0,None,None,2.5079032708252607,[6400|0|0|0],fly
8100,1.364913821220398,0.4409492015838623,0.0542926862835884,-0.6372990012168884,0.2916025519371032,-1.22757089138031,3.45703125,2,fly,0,None,None,2.516464070151798,[6400|0|0|0],fly
