time.ms,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,pm.vbat,drone_id,node_name,wind_speed,global_wind_direction,relative_wind_direction,travel_dist,waiting_time
0,1.232081651687622,1.0936250686645508,-0.04055183008313179,-0.08940250426530838,1.1189513206481934,3.01450777053833,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.16805770602608747,[100|0|0]
100,1.2320853471755981,1.0931349992752075,-0.04061340540647507,-0.08050239831209183,1.1175419092178345,3.040806770324707,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.1685516424424889,[200|0|0]
199,1.2320568561553955,1.0935343503952026,-0.04047831520438194,-0.0907747820019722,1.124717116355896,3.0349040031433105,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.16897418524265842,[300|0|0]
299,1.2320455312728882,1.0933529138565063,-0.040393877774477005,-0.08702640235424042,1.1304264068603516,3.0393314361572266,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.1691746276286621,[400|0|0]
400,1.232025384902954,1.0935354232788086,-0.040790755301713943,-0.08464469760656357,1.1290924549102783,3.042774200439453,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.16961192310894554,[500|0|0]
500,1.2325501441955566,1.0929834842681885,-0.040878329426050186,-0.06622228026390076,1.134346604347229,3.0456008911132812,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.1703785248398791,[600|0|0]
600,1.232139229774475,1.0936007499694824,-0.040774233639240265,-0.09043978899717331,1.134077787399292,3.00921630859375,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17112732624230717,[700|0|0]
700,1.2324438095092773,1.0932823419570923,-0.04062231630086899,-0.09045858681201935,1.1271461248397827,3.0351905822753906,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.1715934070881958,[800|0|0]
800,1.2324988842010498,1.093393087387085,-0.04054133966565132,-0.0990695208311081,1.1255196332931519,3.031219005584717,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17174124141232003,[900|0|0]
900,1.2321460247039795,1.0934579372406006,-0.040436625480651855,-0.10284920036792755,1.132729411125183,3.0494601726531982,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17211497980841256,[1000|0|0]
1000,1.2321580648422241,1.0934261083602905,-0.04065358638763428,-0.10226684808731079,1.1273763179779053,3.05346417427063,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17233459328183662,[1100|0|0]
1100,1.2321490049362183,1.0932447910308838,-0.04061576724052429,-0.09570662677288055,1.1249172687530518,3.023597478866577,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17252003422588122,[1200|0|0]
1200,1.2321710586547852,1.0933469533920288,-0.04024047404527664,-0.09609919041395187,1.1267576217651367,3.018662691116333,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17290960899012622,[1300|0|0]
1301,1.2318627834320068,1.093641757965088,-0.04072575643658638,-0.07096339017152786,1.157641887664795,3.0121915340423584,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17355570677575227,[1400|0|0]
1401,1.2321349382400513,1.093682050704956,-0.04080427065491676,-0.0811697319149971,1.1415557861328125,3.0073862075805664,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17384181204817453,[1500|0|0]
1499,1.2321891784667969,1.0935919284820557,-0.040659837424755096,-0.052257876843214035,1.159070611000061,3.0068817138671875,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17402048766271905,[1600|0|0]
1601,1.2319989204406738,1.0933547019958496,-0.040567200630903244,-0.05238133296370506,1.1547893285751343,3.0296294689178467,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.1743383808803835,[1700|0|0]
1701,1.2323565483093262,1.0933876037597656,-0.040299929678440094,-0.0652829110622406,1.1352964639663696,3.056225061416626,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17478605708093045,[1800|0|0]
1801,1.2321537733078003,1.0934702157974243,-0.04069063439965248,-0.07200445234775543,1.1354162693023682,3.044055700302124,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.1752339327659007,[1900|0|0]
1899,1.2323145866394043,1.0933436155319214,-0.0402507521212101,-0.0760379210114479,1.127914309501648,3.0384955406188965,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.1757190976592459,[2000|0|0]
1999,1.23245108127594,1.093214511871338,-0.04050959274172783,-0.07604284584522247,1.1311261653900146,3.036511182785034,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.1760389366934632,[2100|0|0]
2101,1.232474446296692,1.0931519269943237,-0.040592458099126816,-0.08166183531284332,1.1315088272094727,3.021775245666504,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.1761453766224489,[2200|0|0]
2199,1.2320066690444946,1.0934470891952515,-0.040658220648765564,-0.09818052500486374,1.1328035593032837,3.0245463848114014,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17670238739026645,[2300|0|0]
2299,1.2320352792739868,1.093359112739563,-0.04026369750499725,-0.0996682196855545,1.1351799964904785,3.0354175567626953,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17710761191192811,[2400|0|0]
2399,1.2321494817733765,1.093531847000122,-0.04032720625400543,-0.10487823933362961,1.1231592893600464,3.0604286193847656,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17732420530249746,[2500|0|0]
2499,1.2321281433105469,1.0937085151672363,-0.04076534882187843,-0.10304057598114014,1.1305769681930542,3.0652554035186768,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17779710685784464,[2600|0|0]
2599,1.2323671579360962,1.0935410261154175,-0.04049370437860489,-0.09556213766336441,1.1287996768951416,3.0357775688171387,4.0859375,2,"['A1', 'B2', 'F2']",0,90,0,0.17819581888082245,[2700|0|0]
