src,destination,distance,x,y,z
A1,B1,73.41,65,448,15
A1,B2,132,65,448,15
A1,D2,287.03,65,448,15
A1,E/A,48.26,65,448,15
B1,A1,73.41,132,418,38
B1,B2,84.9,132,418,38
B1,E/A,64.56,132,418,38
B1,E1,83.76,132,418,38
B1,E2,98.81,132,418,38
B2,A1,132,194,476,32
B2,B1,84.9,194,476,32
B2,D2,159.81,194,476,32
B2,E/A,145.44,194,476,32
B2,E1,168.05,194,476,32
B2,E2,182.88,194,476,32
D1,D2,52.8,320,410,94
D1,H1,58.03,320,410,94
D1,H2,81.44,320,410,94
D2,A1,287.03,352,452,41
D2,B2,159.81,352,452,41
D2,D1,52.8,352,452,41
D2,H1,105.62,352,452,41
D2,H2,86.83,352,452,41
D2,L2,175.39,352,452,41
E/A,A1,48.26,70,400,15
E/A,B1,64.56,70,400,15
E/A,B2,145.44,70,400,15
E/A,E1,29.12,70,400,15
E1,A1,76.06,62,372,192
E1,B1,83.76,62,372,192
E1,B2,168.05,62,372,192
E1,E/A,29.12,62,372,192
E1,E2,36.06,62,372,192
E1,F1,53.76,62,372,192
E1,F2,90.96,62,372,192
E1,J1,172.01,62,372,192
E1,J2,113.14,62,372,192
E2,B1,98.81,74,338,168
E2,B2,182.88,74,338,168
E2,E1,36.06,74,338,168
E2,F1,42.54,74,338,168
E2,F2,76.79,74,338,168
E2,I1,91.55,74,338,168
E2,J1,136.06,74,338,168
E2,J2,82.1,74,338,168
E2,K2,179.79,74,338,168
E2,N2,236.71,74,338,168
E2,Q/M,268.25,74,338,168
E2,Q1,320.46,74,338,168
E2,R1,249.9,74,338,168
F1,A1,104.66,113,355,76
F1,E1,53.76,113,355,76
F1,E2,42.54,113,355,76
F1,F2,37.48,113,355,76
F1,I1,118.6,113,355,76
F1,J1,142.02,113,355,76
F1,J2,69.35,113,355,76
F1,Q/M,296.23,113,355,76
F1,Q1,346.66,113,355,76
F2,E1,90.96,150,349,101
F2,E2,76.79,150,349,101
F2,F1,37.48,150,349,101
F2,I1,133.42,150,349,101
F2,I2,137.06,150,349,101
F2,J1,136.47,150,349,101
F2,J2,57.56,150,349,101
F2,Q/M,305.95,150,349,101
F2,Q1,353.87,150,349,101
F2,R1,255.95,150,349,101
G1,H1,109.84,210,372,32
H1,D1,58.03,318,352,194
H1,D2,105.62,318,352,194
H1,G1,109.84,318,352,194
H1,H2,79.7,318,352,194
H2,D1,81.44,394,376,29
H2,D2,86.83,394,376,29
H2,H1,79.7,394,376,29
H2,L2,100.02,394,376,29
I1,E2,91.55,64,247,16
I1,F1,118.6,64,247,16
I1,F2,133.42,64,247,16
I1,I2,24.76,64,247,16
I1,J2,90.05,64,247,16
I1,K2,170.24,64,247,16
I1,Q/M,178.04,64,247,16
I2,F2,137.06,82,230,15
I2,I1,24.76,82,230,15
I2,J1,50.6,82,230,15
I2,J2,86.28,82,230,15
I2,K2,154.21,82,230,15
I2,Q/M,169.06,82,230,15
J1,E1,172.01,130,214,89
J1,E2,136.06,130,214,89
J1,F1,142.02,130,214,89
J1,F2,136.47,130,214,89
J1,I2,50.6,130,214,89
J1,J2,78.92,130,214,89
J1,R1,120.02,130,214,89
J2,E1,113.14,142,292,88
J2,E2,82.1,142,292,88
J2,F1,69.35,142,292,88
J2,F2,57.56,142,292,88
J2,I1,90.05,142,292,88
J2,I2,86.28,142,292,88
J2,J1,78.92,142,292,88
J2,K2,98.79,142,292,88
J2,Q/M,252.49,142,292,88
J2,R1,198.49,142,292,88
K1,K2,27.29,207,252,66
K2,E2,179.79,234,256,128
K2,I1,170.24,234,256,128
K2,I2,154.21,234,256,128
K2,J2,98.79,234,256,128
K2,K1,27.29,234,256,128
K2,L1,82.39,234,256,128
L1,K2,82.39,316,264,130
L1,L2,59.67,316,264,130
L1,P2,74.22,316,264,130
L2,D2,175.39,374,278,40
L2,H2,100.02,374,278,40
L2,L1,59.67,374,278,40
L2,O1,206.16,374,278,40
L2,O2,145.73,374,278,40
L2,P2,94.85,374,278,40
L2,T1,268.05,374,278,40
L2,T2,246.13,374,278,40
N1,N2,50.49,180,180,56
N1,O1,89.11,180,180,56
N1,O2,88.02,180,180,56
N1,R1,100.5,180,180,56
N2,E2,236.71,187,130,116
N2,N1,50.49,187,130,116
N2,O1,58.25,187,130,116
N2,O2,94.15,187,130,116
N2,R1,69.12,187,130,116
N2,S1,98.86,187,130,116
O1,L2,206.16,244,118,94
O1,N1,89.11,244,118,94
O1,N2,58.25,244,118,94
O1,O2,64.62,244,118,94
O1,P2,116.52,244,118,94
O1,R3,150.75,244,118,94
O1,S1,53.85,244,118,94
O1,T2,162.6,244,118,94
O2,L2,145.73,268,178,117
O2,N1,88.02,268,178,117
O2,N2,94.15,268,178,117
O2,O1,64.62,268,178,117
O2,P2,67.47,268,178,117
O2,R3,212.41,268,178,117
O2,S1,110.07,268,178,117
P1,P2,29.41,317,168,30
P2,L1,74.22,334,192,116
P2,L2,94.85,334,192,116
P2,O1,116.52,334,192,116
P2,O2,67.47,334,192,116
P2,P1,29.41,334,192,116
P2,S2,163.05,334,192,116
P2,T1,187.48,334,192,116
P2,T2,167.04,334,192,116
Q/M,E2,268.25,8,78,20
Q/M,F1,296.23,8,78,20
Q/M,F2,305.95,8,78,20
Q/M,I1,178.04,8,78,20
Q/M,I2,169.06,8,78,20
Q/M,J2,252.49,8,78,20
Q/M,Q1,54.04,8,78,20
Q/M,R1,121.06,8,78,20
Q/M,R3,151.65,8,78,20
Q1,E2,320.46,10,24,110
Q1,F1,346.66,10,24,110
Q1,F2,353.87,10,24,110
Q1,Q/M,54.04,10,24,110
Q1,R1,137.2,10,24,110
Q1,R2,132.97,10,24,110
Q1,R3,133.09,10,24,110
Q1,S1,257.78,10,24,110
Q1,S2,280.22,10,24,110
R1,E2,249.9,128,94,102
R1,F2,255.95,128,94,102
R1,J1,120.02,128,94,102
R1,J2,198.49,128,94,102
R1,N1,100.5,128,94,102
R1,N2,69.12,128,94,102
R1,Q/M,121.06,128,94,102
R1,Q1,137.2,128,94,102
R1,R2,22.8,128,94,102
R2,R1,22.8,134,72,102
R2,R3,65.49,134,72,102
R2,S1,130.06,134,72,102
R2,S2,160.33,134,72,102
R3,O1,150.75,142,7,57
R3,O2,212.41,142,7,57
R3,Q/M,151.65,142,7,57
R3,Q1,133.09,142,7,57
R3,R2,65.49,142,7,57
R3,S1,136.4,142,7,57
R3,S2,150.63,142,7,57
R3,T1,237.02,142,7,57
S1,N2,98.86,264,68,185
S1,O1,53.85,264,68,185
S1,O2,110.07,264,68,185
S1,Q1,257.78,264,68,185
S1,R2,130.06,264,68,185
S1,R3,136.4,264,68,185
S1,S2,42.01,264,68,185
S2,P2,163.05,290,35,153
S2,Q1,280.22,290,35,153
S2,R2,160.33,290,35,153
S2,R3,150.63,290,35,153
S2,S1,42.01,290,35,153
S2,T1,92.44,290,35,153
S2,T2,92.05,290,35,153
T1,T2,22.2,379,10,34
T2,L2,246.13,382,32,34
T2,O1,162.6,382,32,34
T2,P2,167.04,382,32,34
T2,S2,92.05,382,32,34
T2,T1,22.2,382,32,34
