Source,Dest,Dist,X,Y,Z
A1,A2,115.57,158.0,13.0,10.0
A1,B1,30.02,158.0,13.0,10.0
A1,B2,39.36,158.0,13.0,10.0
A1,C1,46.57,158.0,13.0,10.0
A1,C2,56.44,158.0,13.0,10.0
A1,F1,116.02,158.0,13.0,10.0
A1,F3,100.45,158.0,13.0,10.0
A1,G1,126.49,158.0,13.0,10.0
A1,I2A,232.72,158.0,13.0,10.0
A2,A1,115.57,139.0,127.0,10.0
A2,B2,79.01,139.0,127.0,10.0
A2,F1,87.98,139.0,127.0,10.0
A2,F3,153.5,139.0,127.0,10.0
A2,H2,261.97,139.0,127.0,10.0
B1,A1,30.02,184.0,-2.0,32.0
B1,A2,136.62,184.0,-2.0,32.0
B1,B2,66.6,184.0,-2.0,32.0
B1,C1,33.11,184.0,-2.0,32.0
B1,C2,63.81,184.0,-2.0,32.0
B1,F1,145.91,184.0,-2.0,32.0
B1,F3,125.02,184.0,-2.0,32.0
B1,I2A,262.61,184.0,-2.0,32.0
B2,A1,39.36,140.0,48.0,31.0
B2,A2,79.01,140.0,48.0,31.0
B2,B1,66.6,140.0,48.0,31.0
B2,C1,85.44,140.0,48.0,31.0
B2,C2,84.59,140.0,48.0,31.0
B2,F1,82.86,140.0,48.0,31.0
B2,F3,96.25,140.0,48.0,31.0
B2,I/M1A,195.17,140.0,48.0,31.0
B2,J1,144.17,140.0,48.0,31.0
C1,A1,46.57,170.0,-32.0,127.0
C1,B1,33.11,170.0,-32.0,127.0
C1,B2,85.44,170.0,-32.0,127.0
C1,C2,40.2,170.0,-32.0,127.0
C1,D1,148.34,170.0,-32.0,127.0
C1,D2,164.76,170.0,-32.0,127.0
C1,F3,114.48,170.0,-32.0,127.0
C1,G2,146.44,170.0,-32.0,127.0
C1,H2,140.36,170.0,-32.0,127.0
C1,L2,223.39,170.0,-32.0,127.0
C2,A1,56.44,130.0,-36.0,107.0
C2,B1,63.81,130.0,-36.0,107.0
C2,B2,84.59,130.0,-36.0,107.0
C2,C1,40.2,130.0,-36.0,107.0
C2,D1,147.09,130.0,-36.0,107.0
C2,D2,157.08,130.0,-36.0,107.0
C2,F1,134.33,130.0,-36.0,107.0
C2,F3,77.88,130.0,-36.0,107.0
C2,G1,79.4,130.0,-36.0,107.0
C2,G2,107.84,130.0,-36.0,107.0
C2,H1,179.3,130.0,-36.0,107.0
C2,H2,110.0,130.0,-36.0,107.0
C2,L1,210.11,130.0,-36.0,107.0
C2,L2,185.17,130.0,-36.0,107.0
D1,C1,148.34,160.0,-180.0,36.0
D1,C2,147.09,160.0,-180.0,36.0
D1,D2,28.18,160.0,-180.0,36.0
D2,C1,164.76,135.0,-193.0,102.0
D2,C2,157.08,135.0,-193.0,102.0
D2,D1,28.18,135.0,-193.0,102.0
D2,F3,203.71,135.0,-193.0,102.0
D2,G1,156.58,135.0,-193.0,102.0
D2,H1,63.35,135.0,-193.0,102.0
D2,H2,99.01,135.0,-193.0,102.0
D2,L1,158.53,135.0,-193.0,102.0
D2,L2,188.45,135.0,-193.0,102.0
D2,P1,250.8,135.0,-193.0,102.0
D2,R2,492.39,135.0,-193.0,102.0
E1A,E1B,14.21,82.0,129.0,188.0
E1A,F3,134.97,82.0,129.0,188.0
E1A,H2,253.64,82.0,129.0,188.0
E1A,I/M1A,144.67,82.0,129.0,188.0
E1A,I/M1B,186.3,82.0,129.0,188.0
E1A,I1A,107.0,82.0,129.0,188.0
E1A,I1B,107.0,82.0,129.0,188.0
E1A,I2A,137.46,82.0,129.0,188.0
E1A,I2B,156.16,82.0,129.0,188.0
E1A,J1,113.45,82.0,129.0,188.0
E1A,J2,171.96,82.0,129.0,188.0
E1A,N1,223.4,82.0,129.0,188.0
E1A,Q1,294.05,82.0,129.0,188.0
E1A,S1,365.3,82.0,129.0,188.0
E1B,E1A,14.21,71.0,120.0,165.0
F/G1,F3,21.21,80.0,-7.0,100.0
F1,A1,116.02,64.0,81.0,73.0
F1,A2,87.98,64.0,81.0,73.0
F1,B1,145.91,64.0,81.0,73.0
F1,B2,82.86,64.0,81.0,73.0
F1,C2,134.33,64.0,81.0,73.0
F1,I/M1A,117.07,64.0,81.0,73.0
F1,I/M1B,169.01,64.0,81.0,73.0
F1,I1A,101.6,64.0,81.0,73.0
F1,I1B,101.6,64.0,81.0,73.0
F1,I2A,121.28,64.0,81.0,73.0
F1,I2B,140.04,64.0,81.0,73.0
F1,J1,72.8,64.0,81.0,73.0
F1,J2,142.79,64.0,81.0,73.0
F1,Q1,291.38,64.0,81.0,73.0
F1,S1,326.5,64.0,81.0,73.0
F3,A1,100.45,59.0,-4.0,164.0
F3,A2,153.5,59.0,-4.0,164.0
F3,B1,125.02,59.0,-4.0,164.0
F3,B2,96.25,59.0,-4.0,164.0
F3,C1,114.48,59.0,-4.0,164.0
F3,C2,77.88,59.0,-4.0,164.0
F3,D2,203.71,59.0,-4.0,164.0
